t_sec,score,back_angle,head_fwd,shoulder_tilt,sitting
2.2,88,8.05,8.22,6.13,1
3.7,91,7.33,3.13,1.6,1
5.2,57,6.45,60.39,54.59,1
6.7,62,5.67,58.23,40.85,1
8.2,73,7.21,-33.91,27.51,1
9.5,78,7.41,-22.39,21.47,1
11.1,80,7.01,-15.03,22.11,1
12.7,83,7.38,-10.29,17.5,1
14.1,84,7.29,-10.88,15.86,1
15.6,92,7.37,0.58,1.34,1
17.0,71,5.5,-43.41,30.72,1
18.5,72,5.38,-43.44,28.44,1
19.9,52,5.62,-83.7,114.54,1
21.4,51,4.85,-90.06,83.16,1
22.9,50,7.3,-86.59,165.29,1
24.3,81,6.7,19.21,17.14,1
25.6,87,8.8,4.05,8.28,1
27.0,88,7.49,8.29,7.06,1
28.4,86,6.65,9.17,11.93,1
29.9,90,7.78,7.14,0.42,1
31.5,80,7.05,26.38,14.97,1
32.9,85,9.47,8.04,9.85,1
35.2,82,6.96,18.36,14.86,1
36.6,86,5.84,10.62,12.88,1
37.5,83,6.24,4.35,23.24,1
38.4,91,6.39,8.87,2.11,1
39.4,82,6.42,6.75,24.96,1
40.4,84,6.49,3.54,21.16,1
41.3,87,6.85,14.87,5.17,1
42.2,89,6.8,3.49,8.15,1
43.2,91,6.87,3.78,3.8,1
44.1,91,6.92,3.46,3.14,1
45.0,84,7.36,14.57,13.03,1
45.9,86,7.29,9.38,10.91,1
46.7,85,7.57,12.15,11.99,1
47.6,88,7.9,10.91,3.24,1
48.5,86,7.73,10.31,10.1,1
49.4,89,8.02,10.2,1.5,1
50.3,85,7.49,7.43,15.31,1
51.3,62,7.55,-37.97,58.99,1
52.2,84,7.42,-17.38,9.15,1
53.1,85,6.33,3.27,18.95,1
54.0,75,7.25,7.92,40.32,1
54.9,77,6.64,8.38,36.48,1
55.8,61,6.58,71.21,34.06,1
56.7,62,5.89,68.98,33.85,1
57.6,54,5.94,74.15,49.18,1
58.5,46,6.03,105.6,64.55,1
59.4,52,6.29,92.35,43.11,1
60.3,52,6.49,95.36,39.43,1
61.2,91,5.69,3.67,7.17,1
62.1,85,7.79,1.86,18.04,1
63.0,80,7.59,8.27,26.5,1
63.9,81,7.01,8.24,24.95,1
64.7,80,6.93,7.9,27.29,1
65.6,82,6.75,3.87,25.45,1
66.5,79,7.19,5.12,31.6,1
67.4,79,7.14,10.72,28.81,1
68.3,78,6.9,9.61,31.01,1
69.2,79,6.83,6.1,31.95,1
70.1,77,6.81,13.09,33.2,1
71.5,78,6.92,8.17,31.66,1
72.5,76,7.02,10.58,35.68,1
